Material_Key,SAP_Material_Number,QAD_Material_Number,SAP_Planning_SKU,QAD_Planning_SKU,material_description,material_type,unit_of_measure,unit_of_measure_description,product_line,product_line_description,weight,application,sub_application,brand,brand_category,length_in,width_in,height_in,warranty_months,pallet_quantity,cost_usd,pallet_layer_qty,MCN
6497,108332423,Q161281,PLN-206497,QPLN-206497,AeroLite Sensing Industrial Backup Power 06497,RM,FT,Feet,Sensing,Sensors & actuators,3.48,Industrial,Backup Power,AeroLite,Aerospace,13,12,19,18,12,90.56,12,
6498,867827143,Q886965,PLN-206498,QPLN-206498,VoltMax Enclosures Industrial Material Handling 06498,FG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",8.62,Industrial,Material Handling,VoltMax,Premium,10,15,13,26,48,403.52,12,MCN2435
6499,192269640,Q795097,PLN-206499,QPLN-206499,MediPower Enclosures Aerospace Avionics 06499,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",0.11,Aerospace,Avionics,MediPower,Medical,1,1,1,32,3840,458.07,1920,MCN1918
6500,381941249,Q383270,PLN-206500,QPLN-206500,VoltMax Sensing Marine Propulsion 06500,SFG,LBS,Pounds,Sensing,Sensors & actuators,18.05,Marine,Propulsion,VoltMax,Premium,23,13,8,11,12,240.1,3,
6501,969478850,Q645339,PLN-206501,QPLN-206501,HarborVolt Sensing Industrial Backup Power 06501,RM,LBS,Pounds,Sensing,Sensors & actuators,39.86,Industrial,Backup Power,HarborVolt,Marine,43,17,12,10,2,59.85,1,
6502,925455909,Q211120,PLN-206502,QPLN-206502,HarborVolt Enclosures Energy Storage 06502,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",7.73,Energy,Storage,HarborVolt,Marine,1,5,4,16,1080,453.07,360,MCN1252
6503,538890534,Q857389,PLN-206503,QPLN-206503,TitanCore Sensing Energy Storage 06503,RM,LBS,Pounds,Sensing,Sensors & actuators,0.65,Energy,Storage,TitanCore,Industrial,11,7,4,11,36,47.09,18,
6504,484395690,Q189541,PLN-206504,QPLN-206504,AeroLite Thermal Marine Propulsion 06504,FG,KG,Kilogram,Thermal,Cooling systems & manifolds,1.77,Marine,Propulsion,AeroLite,Aerospace,40,19,1,27,8,145.11,2,MCN3005
6505,118482969,Q345673,PLN-206505,QPLN-206505,EcoCell Controls Medical Devices 06505,FG,KG,Kilogram,Controls,Controllers & power electronics,22.82,Medical,Devices,EcoCell,Value,23,23,11,21,4,180.15,2,MCN2896
6506,731718290,Q449720,PLN-206506,QPLN-206506,TitanCore Sensing Automotive ICE 06506,RM,LBS,Pounds,Sensing,Sensors & actuators,10.8,Automotive,ICE,TitanCore,Industrial,15,15,10,13,12,83.17,6,
6507,726533173,Q331270,PLN-206507,QPLN-206507,VoltMax Charging Energy Storage 06507,SFG,FT,Feet,Charging,Chargers & accessories,5.49,Energy,Storage,VoltMax,Premium,25,17,7,18,6,257.63,2,
6508,506808653,Q810716,PLN-206508,QPLN-206508,EcoCell Thermal Industrial Backup Power 06508,SFG,EA,Each,Thermal,Cooling systems & manifolds,20.13,Industrial,Backup Power,EcoCell,Value,32,18,21,18,6,137.69,2,
6509,493077080,Q135146,PLN-206509,QPLN-206509,TitanCore Controls Medical Devices 06509,FG,FT,Feet,Controls,Controllers & power electronics,2.97,Medical,Devices,TitanCore,Industrial,9,23,10,24,32,446.96,8,MCN1769
6510,451803900,Q524787,PLN-206510,QPLN-206510,VoltMax Controls Aerospace Avionics 06510,FG,FT,Feet,Controls,Controllers & power electronics,19.53,Aerospace,Avionics,VoltMax,Premium,16,8,6,29,48,472.01,12,MCN1301
6511,535752667,Q969516,PLN-206511,QPLN-206511,VoltMax Enclosures Automotive ICE 06511,FG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",6.74,Automotive,ICE,VoltMax,Premium,24,28,3,28,2,546.4,1,MCN2168
6512,209906139,Q721379,PLN-206512,QPLN-206512,VoltMax Enclosures Aerospace Avionics 06512,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",17.25,Aerospace,Avionics,VoltMax,Premium,39,18,16,30,2,261.27,2,MCN3156
6513,744825372,Q484044,PLN-206513,QPLN-206513,VoltMax Wiring Marine Propulsion 06513,RM,KG,Kilogram,Wiring,Harnesses & connectors,0.45,Marine,Propulsion,VoltMax,Premium,19,1,5,4,384,65.63,96,
6514,783649966,Q616891,PLN-206514,QPLN-206514,AeroLite Thermal Marine Propulsion 06514,PKG,LBS,Pounds,Thermal,Cooling systems & manifolds,17.76,Marine,Propulsion,AeroLite,Aerospace,38,21,10,20,8,9.13,2,
6515,507167857,Q607957,PLN-206515,QPLN-206515,AeroLite Sensing Medical Devices 06515,FG,KG,Kilogram,Sensing,Sensors & actuators,10.01,Medical,Devices,AeroLite,Aerospace,49,20,8,15,2,397.63,1,MCN1520
6516,473768171,Q272327,PLN-206516,QPLN-206516,HarborVolt Energy Storage Aerospace Avionics 06516,FG,LBS,Pounds,Energy Storage,Battery modules and packs,5.46,Aerospace,Avionics,HarborVolt,Marine,19,10,9,26,24,316.06,8,MCN3064
6517,942334326,Q912193,PLN-206517,QPLN-206517,VoltMax Thermal Automotive ICE 06517,RM,LBS,Pounds,Thermal,Cooling systems & manifolds,0.46,Automotive,ICE,VoltMax,Premium,16,1,7,6,192,60.42,96,
6518,252533986,Q939092,PLN-206518,QPLN-206518,HarborVolt Thermal Medical Devices 06518,RM,EA,Each,Thermal,Cooling systems & manifolds,0.1,Medical,Devices,HarborVolt,Marine,25,17,19,13,8,65.01,2,
6519,582385404,Q308310,PLN-206519,QPLN-206519,HarborVolt Wiring Marine Propulsion 06519,PKG,FT,Feet,Wiring,Harnesses & connectors,11.08,Marine,Propulsion,HarborVolt,Marine,36,10,14,9,16,5.12,4,
6520,198720129,Q501218,PLN-206520,QPLN-206520,EcoCell Wiring Automotive ICE 06520,PKG,LBS,Pounds,Wiring,Harnesses & connectors,13.22,Automotive,ICE,EcoCell,Value,16,23,12,17,12,7.87,4,
6521,758569407,Q205423,PLN-206521,QPLN-206521,TitanCore Sensing Marine Propulsion 06521,FG,SET,Set,Sensing,Sensors & actuators,3.52,Marine,Propulsion,TitanCore,Industrial,39,19,6,23,2,470.99,2,MCN1862
6522,898830843,Q149194,PLN-206522,QPLN-206522,EcoCell Wiring Medical Devices 06522,FG,SET,Set,Wiring,Harnesses & connectors,4.61,Medical,Devices,EcoCell,Value,13,9,23,26,15,183.75,15,MCN3144
6523,595809408,Q898874,PLN-206523,QPLN-206523,VoltMax Controls Energy Storage 06523,RM,LBS,Pounds,Controls,Controllers & power electronics,16.57,Energy,Storage,VoltMax,Premium,19,15,19,8,18,63.82,6,
6524,651700958,Q222297,PLN-206524,QPLN-206524,TitanCore Wiring Energy Storage 06524,SFG,EA,Each,Wiring,Harnesses & connectors,16.02,Energy,Storage,TitanCore,Industrial,5,29,20,12,16,139.48,8,
6525,408880105,Q404519,PLN-206525,QPLN-206525,VoltMax Sensing Medical Devices 06525,RM,LBS,Pounds,Sensing,Sensors & actuators,11.98,Medical,Devices,VoltMax,Premium,55,33,1,5,2,88.88,1,
6526,493667196,Q926721,PLN-206526,QPLN-206526,MediPower Energy Storage Industrial Backup Power 06526,SFG,EA,Each,Energy Storage,Battery modules and packs,21.53,Industrial,Backup Power,MediPower,Medical,11,22,6,10,12,240.33,6,
6527,885365741,Q489372,PLN-206527,QPLN-206527,VoltMax Sensing Automotive ICE 06527,SUBASSY,KG,Kilogram,Sensing,Sensors & actuators,7.22,Automotive,ICE,VoltMax,Premium,20,18,7,6,16,152.91,4,
6528,132895397,Q501166,PLN-206528,QPLN-206528,VoltMax Energy Storage Marine Propulsion 06528,PKG,KG,Kilogram,Energy Storage,Battery modules and packs,11.67,Marine,Propulsion,VoltMax,Premium,20,16,13,26,6,9.56,6,
6529,965949783,Q849829,PLN-206529,QPLN-206529,MediPower Energy Storage Medical Devices 06529,FG,EA,Each,Energy Storage,Battery modules and packs,13.43,Medical,Devices,MediPower,Medical,38,32,14,18,3,469.5,1,MCN2573
6530,219633961,Q467096,PLN-206530,QPLN-206530,VoltMax Thermal Industrial Material Handling 06530,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,20.84,Industrial,Material Handling,VoltMax,Premium,15,14,10,20,12,336.58,6,MCN1276
6531,275367058,Q523359,PLN-206531,QPLN-206531,HarborVolt Controls Automotive EV/Hybrid 06531,FG,KG,Kilogram,Controls,Controllers & power electronics,9.89,Automotive,EV/Hybrid,HarborVolt,Marine,29,23,6,17,4,395.85,2,MCN2250
6532,285663443,Q555673,PLN-206532,QPLN-206532,HarborVolt Thermal Automotive ICE 06532,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,21.72,Automotive,ICE,HarborVolt,Marine,22,15,7,28,9,197.28,3,MCN2973
6533,734444499,Q542181,PLN-206533,QPLN-206533,TitanCore Wiring Marine Propulsion 06533,FG,KG,Kilogram,Wiring,Harnesses & connectors,10.5,Marine,Propulsion,TitanCore,Industrial,25,20,10,27,8,301.4,2,MCN3221
6534,634274699,Q569690,PLN-206534,QPLN-206534,AeroLite Wiring Automotive EV/Hybrid 06534,SFG,EA,Each,Wiring,Harnesses & connectors,17.92,Automotive,EV/Hybrid,AeroLite,Aerospace,36,7,10,15,18,276.43,6,
6535,521325189,Q936717,PLN-206535,QPLN-206535,HarborVolt Sensing Aerospace Avionics 06535,RM,EA,Each,Sensing,Sensors & actuators,13.26,Aerospace,Avionics,HarborVolt,Marine,24,11,12,9,16,31.29,4,
6536,182808349,Q607726,PLN-206536,QPLN-206536,TitanCore Wiring Automotive ICE 06536,SUBASSY,KG,Kilogram,Wiring,Harnesses & connectors,1.32,Automotive,ICE,TitanCore,Industrial,33,9,1,23,5,72.93,5,
6537,788848355,Q639825,PLN-206537,QPLN-206537,VoltMax Sensing Industrial Backup Power 06537,SFG,SET,Set,Sensing,Sensors & actuators,13.33,Industrial,Backup Power,VoltMax,Premium,23,20,9,20,8,210.89,2,
6538,189081289,Q123099,PLN-206538,QPLN-206538,VoltMax Wiring Industrial Material Handling 06538,PKG,FT,Feet,Wiring,Harnesses & connectors,9.84,Industrial,Material Handling,VoltMax,Premium,24,29,10,13,1,5.42,1,
6539,851649159,Q249493,PLN-206539,QPLN-206539,TitanCore Charging Industrial Material Handling 06539,FG,LBS,Pounds,Charging,Chargers & accessories,28.0,Industrial,Material Handling,TitanCore,Industrial,26,14,16,27,9,312.81,3,MCN1730
6540,862763620,Q922353,PLN-206540,QPLN-206540,HarborVolt Enclosures Energy Storage 06540,RM,SET,Set,Enclosures,"Cabinets, housings, brackets",13.05,Energy,Storage,HarborVolt,Marine,43,17,1,12,3,29.63,1,
6541,883730585,Q409081,PLN-206541,QPLN-206541,AeroLite Thermal Marine Propulsion 06541,FG,EA,Each,Thermal,Cooling systems & manifolds,16.95,Marine,Propulsion,AeroLite,Aerospace,23,1,2,28,144,480.31,48,MCN3075
6542,278008976,Q486895,PLN-206542,QPLN-206542,TitanCore Enclosures Industrial Material Handling 06542,FG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",8.46,Industrial,Material Handling,TitanCore,Industrial,34,22,9,22,8,294.14,2,MCN2580
6543,575620323,Q224738,PLN-206543,QPLN-206543,MediPower Thermal Automotive EV/Hybrid 06543,RM,SET,Set,Thermal,Cooling systems & manifolds,2.65,Automotive,EV/Hybrid,MediPower,Medical,26,1,5,24,96,71.05,48,
6544,198755912,Q280127,PLN-206544,QPLN-206544,EcoCell Charging Industrial Backup Power 06544,PKG,EA,Each,Charging,Chargers & accessories,15.41,Industrial,Backup Power,EcoCell,Value,30,15,7,6,12,6.72,3,
6545,951868346,Q430902,PLN-206545,QPLN-206545,AeroLite Wiring Industrial Backup Power 06545,PKG,EA,Each,Wiring,Harnesses & connectors,1.9,Industrial,Backup Power,AeroLite,Aerospace,16,26,16,5,8,7.51,2,
6546,721305700,Q530534,PLN-206546,QPLN-206546,EcoCell Enclosures Marine Propulsion 06546,RM,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",42.06,Marine,Propulsion,EcoCell,Value,33,22,16,7,6,38.36,2,
6547,831491519,Q361380,PLN-206547,QPLN-206547,HarborVolt Enclosures Medical Devices 06547,RM,EA,Each,Enclosures,"Cabinets, housings, brackets",12.58,Medical,Devices,HarborVolt,Marine,20,16,9,19,6,74.75,6,
6548,469946035,Q710535,PLN-206548,QPLN-206548,MediPower Sensing Automotive ICE 06548,RM,EA,Each,Sensing,Sensors & actuators,26.78,Automotive,ICE,MediPower,Medical,13,15,15,16,27,94.65,9,
6549,424931803,Q763005,PLN-206549,QPLN-206549,AeroLite Enclosures Marine Propulsion 06549,SFG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",0.89,Marine,Propulsion,AeroLite,Aerospace,39,1,7,7,48,220.48,48,
6550,763251550,Q257448,PLN-206550,QPLN-206550,TitanCore Wiring Automotive ICE 06550,FG,LBS,Pounds,Wiring,Harnesses & connectors,2.89,Automotive,ICE,TitanCore,Industrial,10,10,8,22,64,458.4,16,MCN1390
6551,750287936,Q856163,PLN-206551,QPLN-206551,MediPower Wiring Automotive EV/Hybrid 06551,SUBASSY,LBS,Pounds,Wiring,Harnesses & connectors,13.82,Automotive,EV/Hybrid,MediPower,Medical,28,24,9,8,4,140.85,2,
6552,171101486,Q257029,PLN-206552,QPLN-206552,TitanCore Thermal Medical Devices 06552,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,2.09,Medical,Devices,TitanCore,Industrial,20,1,18,37,288,73.66,96,MCN1969
6553,244826003,Q146393,PLN-206553,QPLN-206553,AeroLite Charging Industrial Backup Power 06553,SFG,LBS,Pounds,Charging,Chargers & accessories,14.76,Industrial,Backup Power,AeroLite,Aerospace,18,9,15,5,40,295.92,10,
6554,949317032,Q951397,PLN-206554,QPLN-206554,EcoCell Charging Energy Storage 06554,SFG,FT,Feet,Charging,Chargers & accessories,15.72,Energy,Storage,EcoCell,Value,19,26,1,12,6,131.68,2,
6555,856509784,Q110458,PLN-206555,QPLN-206555,VoltMax Thermal Industrial Material Handling 06555,FG,SET,Set,Thermal,Cooling systems & manifolds,8.96,Industrial,Material Handling,VoltMax,Premium,1,27,11,32,120,361.59,40,MCN3426
6556,900041502,Q307772,PLN-206556,QPLN-206556,AeroLite Charging Automotive ICE 06556,FG,LBS,Pounds,Charging,Chargers & accessories,36.67,Automotive,ICE,AeroLite,Aerospace,10,24,15,30,24,440.08,8,MCN1342
6557,548266723,Q603517,PLN-206557,QPLN-206557,MediPower Controls Medical Devices 06557,SFG,SET,Set,Controls,Controllers & power electronics,17.5,Medical,Devices,MediPower,Medical,11,25,5,10,3,270.99,3,
6558,942710304,Q305925,PLN-206558,QPLN-206558,EcoCell Thermal Medical Devices 06558,FG,KG,Kilogram,Thermal,Cooling systems & manifolds,4.96,Medical,Devices,EcoCell,Value,26,8,5,29,18,253.77,6,MCN1206
6559,339773997,Q863603,PLN-206559,QPLN-206559,MediPower Sensing Energy Storage 06559,FG,EA,Each,Sensing,Sensors & actuators,10.9,Energy,Storage,MediPower,Medical,7,24,12,13,40,464.72,10,MCN1319
6560,712403618,Q227146,PLN-206560,QPLN-206560,TitanCore Charging Industrial Material Handling 06560,RM,LBS,Pounds,Charging,Chargers & accessories,0.57,Industrial,Material Handling,TitanCore,Industrial,1,16,14,20,240,55.11,120,
6561,181753726,Q963167,PLN-206561,QPLN-206561,MediPower Wiring Automotive EV/Hybrid 06561,FG,FT,Feet,Wiring,Harnesses & connectors,11.97,Automotive,EV/Hybrid,MediPower,Medical,19,12,22,23,16,681.77,8,MCN1020
6562,765716498,Q384219,PLN-206562,QPLN-206562,VoltMax Enclosures Industrial Backup Power 06562,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",12.09,Industrial,Backup Power,VoltMax,Premium,18,1,10,28,384,177.85,96,MCN2816
6563,315792814,Q289615,PLN-206563,QPLN-206563,TitanCore Sensing Marine Propulsion 06563,FG,EA,Each,Sensing,Sensors & actuators,16.86,Marine,Propulsion,TitanCore,Industrial,35,17,11,24,6,329.72,2,MCN1931
6564,638137790,Q423545,PLN-206564,QPLN-206564,TitanCore Sensing Automotive ICE 06564,RM,SET,Set,Sensing,Sensors & actuators,8.09,Automotive,ICE,TitanCore,Industrial,30,4,22,18,36,55.0,12,
6565,663610516,Q677036,PLN-206565,QPLN-206565,AeroLite Energy Storage Industrial Material Handling 06565,SFG,FT,Feet,Energy Storage,Battery modules and packs,12.32,Industrial,Material Handling,AeroLite,Aerospace,29,10,15,15,4,193.66,4,
6566,831080218,Q249106,PLN-206566,QPLN-206566,TitanCore Thermal Industrial Backup Power 06566,SFG,FT,Feet,Thermal,Cooling systems & manifolds,10.97,Industrial,Backup Power,TitanCore,Industrial,4,12,22,6,80,144.42,40,
6567,927908150,Q931681,PLN-206567,QPLN-206567,VoltMax Energy Storage Marine Propulsion 06567,FG,EA,Each,Energy Storage,Battery modules and packs,18.92,Marine,Propulsion,VoltMax,Premium,25,9,9,24,15,377.03,5,MCN2359
6568,417816941,Q964284,PLN-206568,QPLN-206568,EcoCell Wiring Industrial Material Handling 06568,PKG,FT,Feet,Wiring,Harnesses & connectors,24.74,Industrial,Material Handling,EcoCell,Value,21,8,1,15,24,3.45,6,
6569,708406820,Q135782,PLN-206569,QPLN-206569,AeroLite Wiring Energy Storage 06569,SUBASSY,KG,Kilogram,Wiring,Harnesses & connectors,13.14,Energy,Storage,AeroLite,Aerospace,23,12,10,0,16,161.7,4,
6570,217392177,Q234539,PLN-206570,QPLN-206570,EcoCell Sensing Automotive ICE 06570,SFG,EA,Each,Sensing,Sensors & actuators,8.71,Automotive,ICE,EcoCell,Value,39,1,2,10,144,54.12,48,
6571,765319892,Q308897,PLN-206571,QPLN-206571,MediPower Controls Aerospace Avionics 06571,RM,EA,Each,Controls,Controllers & power electronics,5.1,Aerospace,Avionics,MediPower,Medical,26,18,14,16,4,92.44,2,
6572,741908809,Q416457,PLN-206572,QPLN-206572,TitanCore Controls Aerospace Avionics 06572,FG,FT,Feet,Controls,Controllers & power electronics,9.16,Aerospace,Avionics,TitanCore,Industrial,1,14,1,32,120,335.77,120,MCN2550
6573,682168216,Q872128,PLN-206573,QPLN-206573,TitanCore Thermal Automotive ICE 06573,RM,FT,Feet,Thermal,Cooling systems & manifolds,15.78,Automotive,ICE,TitanCore,Industrial,14,14,8,11,18,52.73,6,
6574,756326120,Q921594,PLN-206574,QPLN-206574,EcoCell Thermal Marine Propulsion 06574,SFG,LBS,Pounds,Thermal,Cooling systems & manifolds,0.99,Marine,Propulsion,EcoCell,Value,1,21,8,1,160,156.19,80,
6575,454345336,Q513866,PLN-206575,QPLN-206575,HarborVolt Sensing Energy Storage 06575,SUBASSY,EA,Each,Sensing,Sensors & actuators,8.7,Energy,Storage,HarborVolt,Marine,26,20,9,23,6,81.67,2,
6576,654442541,Q165846,PLN-206576,QPLN-206576,TitanCore Controls Automotive ICE 06576,SUBASSY,LBS,Pounds,Controls,Controllers & power electronics,5.71,Automotive,ICE,TitanCore,Industrial,21,10,3,7,12,182.86,4,
6577,435077144,Q280700,PLN-206577,QPLN-206577,EcoCell Energy Storage Industrial Material Handling 06577,SFG,SET,Set,Energy Storage,Battery modules and packs,9.72,Industrial,Material Handling,EcoCell,Value,35,6,14,25,32,161.71,8,
6578,357401939,Q423949,PLN-206578,QPLN-206578,TitanCore Wiring Aerospace Avionics 06578,RM,SET,Set,Wiring,Harnesses & connectors,9.06,Aerospace,Avionics,TitanCore,Industrial,37,9,7,10,10,34.94,5,
6579,923442258,Q571070,PLN-206579,QPLN-206579,EcoCell Controls Industrial Backup Power 06579,SFG,EA,Each,Controls,Controllers & power electronics,13.41,Industrial,Backup Power,EcoCell,Value,17,23,12,17,8,123.46,4,
6580,391330354,Q954540,PLN-206580,QPLN-206580,HarborVolt Wiring Industrial Backup Power 06580,SFG,FT,Feet,Wiring,Harnesses & connectors,12.92,Industrial,Backup Power,HarborVolt,Marine,16,9,17,8,20,132.06,10,
6581,844215647,Q166318,PLN-206581,QPLN-206581,AeroLite Controls Automotive EV/Hybrid 06581,RM,KG,Kilogram,Controls,Controllers & power electronics,3.67,Automotive,EV/Hybrid,AeroLite,Aerospace,16,14,12,10,18,76.72,6,
6582,242275781,Q995651,PLN-206582,QPLN-206582,HarborVolt Thermal Marine Propulsion 06582,FG,KG,Kilogram,Thermal,Cooling systems & manifolds,0.68,Marine,Propulsion,HarborVolt,Marine,13,8,2,29,72,293.63,18,MCN1527
6583,273605938,Q266855,PLN-206583,QPLN-206583,EcoCell Thermal Automotive ICE 06583,SFG,EA,Each,Thermal,Cooling systems & manifolds,9.62,Automotive,ICE,EcoCell,Value,18,21,5,5,12,76.38,4,
6584,349968055,Q574845,PLN-206584,QPLN-206584,AeroLite Wiring Automotive EV/Hybrid 06584,SUBASSY,SET,Set,Wiring,Harnesses & connectors,17.25,Automotive,EV/Hybrid,AeroLite,Aerospace,9,10,7,10,32,49.81,16,
6585,857736412,Q845318,PLN-206585,QPLN-206585,EcoCell Enclosures Industrial Backup Power 06585,SFG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",5.96,Industrial,Backup Power,EcoCell,Value,40,9,6,17,5,125.73,5,
6586,481655640,Q181441,PLN-206586,QPLN-206586,EcoCell Controls Industrial Backup Power 06586,FG,KG,Kilogram,Controls,Controllers & power electronics,0.57,Industrial,Backup Power,EcoCell,Value,23,16,1,22,12,257.33,3,MCN1757
6587,722981200,Q371033,PLN-206587,QPLN-206587,TitanCore Thermal Industrial Backup Power 06587,RM,SET,Set,Thermal,Cooling systems & manifolds,18.5,Industrial,Backup Power,TitanCore,Industrial,38,1,7,21,144,70.72,48,
6588,336850617,Q764812,PLN-206588,QPLN-206588,TitanCore Wiring Automotive ICE 06588,RM,KG,Kilogram,Wiring,Harnesses & connectors,25.63,Automotive,ICE,TitanCore,Industrial,19,22,14,16,4,53.88,4,
6589,897492848,Q447795,PLN-206589,QPLN-206589,AeroLite Energy Storage Industrial Material Handling 06589,FG,LBS,Pounds,Energy Storage,Battery modules and packs,3.65,Industrial,Material Handling,AeroLite,Aerospace,23,11,8,15,4,400.19,4,MCN2534
6590,708111672,Q318951,PLN-206590,QPLN-206590,TitanCore Charging Marine Propulsion 06590,FG,LBS,Pounds,Charging,Chargers & accessories,9.72,Marine,Propulsion,TitanCore,Industrial,14,5,13,15,54,199.98,18,MCN1623
6591,500509028,Q220349,PLN-206591,QPLN-206591,HarborVolt Charging Automotive ICE 06591,SUBASSY,FT,Feet,Charging,Chargers & accessories,21.93,Automotive,ICE,HarborVolt,Marine,28,16,16,12,6,124.2,3,
6592,655731492,Q477615,PLN-206592,QPLN-206592,HarborVolt Thermal Aerospace Avionics 06592,SFG,FT,Feet,Thermal,Cooling systems & manifolds,13.69,Aerospace,Avionics,HarborVolt,Marine,22,19,6,11,6,180.17,2,
6593,123436188,Q767376,PLN-206593,QPLN-206593,HarborVolt Wiring Aerospace Avionics 06593,FG,SET,Set,Wiring,Harnesses & connectors,23.39,Aerospace,Avionics,HarborVolt,Marine,30,17,8,22,2,281.78,2,MCN3065
6594,988485052,Q273390,PLN-206594,QPLN-206594,VoltMax Thermal Energy Storage 06594,PKG,LBS,Pounds,Thermal,Cooling systems & manifolds,3.45,Energy,Storage,VoltMax,Premium,22,21,1,0,2,6.0,2,
6595,847948039,Q545009,PLN-206595,QPLN-206595,TitanCore Thermal Industrial Backup Power 06595,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,0.44,Industrial,Backup Power,TitanCore,Industrial,1,7,9,16,960,241.38,240,MCN2756
6596,244999603,Q583178,PLN-206596,QPLN-206596,MediPower Energy Storage Marine Propulsion 06596,FG,KG,Kilogram,Energy Storage,Battery modules and packs,1.57,Marine,Propulsion,MediPower,Medical,29,8,2,22,12,167.92,6,MCN1793
6597,351334220,Q937408,PLN-206597,QPLN-206597,EcoCell Enclosures Automotive EV/Hybrid 06597,PKG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",0.3,Automotive,EV/Hybrid,EcoCell,Value,1,11,6,11,320,1.38,160,
6598,780854839,Q459442,PLN-206598,QPLN-206598,AeroLite Enclosures Aerospace Avionics 06598,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",0.96,Aerospace,Avionics,AeroLite,Aerospace,13,18,5,13,12,578.98,6,MCN2556
6599,921277855,Q101788,PLN-206599,QPLN-206599,AeroLite Charging Energy Storage 06599,FG,EA,Each,Charging,Chargers & accessories,13.36,Energy,Storage,AeroLite,Aerospace,16,6,10,18,32,522.66,16,MCN2697
6600,316681548,Q806076,PLN-206600,QPLN-206600,EcoCell Sensing Automotive ICE 06600,RM,FT,Feet,Sensing,Sensors & actuators,0.1,Automotive,ICE,EcoCell,Value,20,15,9,12,6,23.4,6,
6601,729966358,Q280340,PLN-206601,QPLN-206601,AeroLite Sensing Medical Devices 06601,RM,LBS,Pounds,Sensing,Sensors & actuators,5.47,Medical,Devices,AeroLite,Aerospace,26,6,10,7,16,41.02,8,
6602,884722450,Q508097,PLN-206602,QPLN-206602,AeroLite Sensing Automotive ICE 06602,RM,FT,Feet,Sensing,Sensors & actuators,9.3,Automotive,ICE,AeroLite,Aerospace,19,23,13,1,4,22.77,4,
6603,922546805,Q466113,PLN-206603,QPLN-206603,TitanCore Charging Industrial Backup Power 06603,SUBASSY,LBS,Pounds,Charging,Chargers & accessories,20.94,Industrial,Backup Power,TitanCore,Industrial,27,12,6,0,16,86.15,4,
6604,566476329,Q577976,PLN-206604,QPLN-206604,AeroLite Controls Aerospace Avionics 06604,FG,LBS,Pounds,Controls,Controllers & power electronics,14.39,Aerospace,Avionics,AeroLite,Aerospace,36,18,6,33,4,425.72,2,MCN1587
6605,202656821,Q753107,PLN-206605,QPLN-206605,TitanCore Thermal Energy Storage 06605,FG,EA,Each,Thermal,Cooling systems & manifolds,0.1,Energy,Storage,TitanCore,Industrial,17,18,14,19,12,273.44,4,MCN1661
6606,478372812,Q730008,PLN-206606,QPLN-206606,AeroLite Energy Storage Automotive EV/Hybrid 06606,RM,LBS,Pounds,Energy Storage,Battery modules and packs,3.59,Automotive,EV/Hybrid,AeroLite,Aerospace,12,19,4,1,18,109.96,6,
6607,927159947,Q559982,PLN-206607,QPLN-206607,EcoCell Energy Storage Automotive EV/Hybrid 06607,RM,LBS,Pounds,Energy Storage,Battery modules and packs,2.97,Automotive,EV/Hybrid,EcoCell,Value,7,24,7,28,40,50.91,10,
6608,968908036,Q335628,PLN-206608,QPLN-206608,TitanCore Wiring Industrial Material Handling 06608,FG,KG,Kilogram,Wiring,Harnesses & connectors,8.36,Industrial,Material Handling,TitanCore,Industrial,40,22,6,15,8,273.03,2,MCN2967
6609,651385775,Q918937,PLN-206609,QPLN-206609,VoltMax Charging Aerospace Avionics 06609,SUBASSY,LBS,Pounds,Charging,Chargers & accessories,12.02,Aerospace,Avionics,VoltMax,Premium,14,22,4,12,8,151.38,4,
6610,228367170,Q525379,PLN-206610,QPLN-206610,AeroLite Energy Storage Marine Propulsion 06610,FG,FT,Feet,Energy Storage,Battery modules and packs,6.32,Marine,Propulsion,AeroLite,Aerospace,36,9,5,31,10,347.16,5,MCN2746
6611,792440666,Q851107,PLN-206611,QPLN-206611,MediPower Energy Storage Medical Devices 06611,RM,SET,Set,Energy Storage,Battery modules and packs,9.92,Medical,Devices,MediPower,Medical,17,20,10,13,8,73.08,4,
6612,642490186,Q107253,PLN-206612,QPLN-206612,HarborVolt Thermal Industrial Material Handling 06612,SFG,SET,Set,Thermal,Cooling systems & manifolds,18.2,Industrial,Material Handling,HarborVolt,Marine,18,23,6,8,4,179.86,4,
